epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,130625,0.789,0.89612,1.42912,0.75763,0.69362,0.75646,0.51917,1.02207,1.01668,1.35736,0.000394,0.000394,0.000394
103,131372,0.78412,0.89129,1.42587,0.75905,0.69312,0.75736,0.52107,1.01947,1.01305,1.35459,0.000388,0.000388,0.000388
104,132119,0.78487,0.88805,1.42316,0.75556,0.69988,0.75885,0.52211,1.01701,1.00937,1.35212,0.000382,0.000382,0.000382
105,132865,0.77628,0.88524,1.41817,0.75375,0.69971,0.75957,0.52321,1.01418,1.00548,1.34941,0.000376,0.000376,0.000376
106,133613,0.77639,0.86983,1.41196,0.75434,0.70188,0.76066,0.52468,1.0119,1.00175,1.34713,0.00037,0.00037,0.00037
107,134360,0.7705,0.87116,1.41097,0.754,0.70387,0.76182,0.52572,1.00944,0.99811,1.34454,0.000364,0.000364,0.000364
108,135107,0.76731,0.86474,1.40754,0.75265,0.70705,0.76276,0.52755,1.00662,0.99452,1.34171,0.000358,0.000358,0.000358
109,135854,0.7673,0.85861,1.40671,0.75435,0.70937,0.76422,0.52886,1.00424,0.99071,1.33936,0.000352,0.000352,0.000352
110,136601,0.76041,0.84819,1.40077,0.7538,0.71112,0.76469,0.52984,1.00157,0.98711,1.33685,0.000346,0.000346,0.000346
111,137349,0.75459,0.85512,1.39453,0.75579,0.71076,0.76612,0.53153,0.99926,0.98326,1.33457,0.00034,0.00034,0.00034
112,138096,0.75631,0.85082,1.39627,0.75744,0.71186,0.76711,0.5325,0.99663,0.97987,1.332,0.000334,0.000334,0.000334
113,138843,0.75041,0.84044,1.38859,0.75827,0.71205,0.76809,0.53427,0.99416,0.976,1.32936,0.000328,0.000328,0.000328
114,139591,0.74992,0.83519,1.38932,0.75986,0.71226,0.76921,0.53567,0.99163,0.97234,1.32695,0.000322,0.000322,0.000322
115,140338,0.74704,0.83529,1.38664,0.76197,0.71471,0.77035,0.53731,0.98903,0.96884,1.32433,0.000316,0.000316,0.000316
116,141084,0.73908,0.8337,1.37653,0.76255,0.71614,0.77171,0.53824,0.98649,0.9655,1.32174,0.00031,0.00031,0.00031
117,141830,0.73504,0.82558,1.37494,0.75992,0.71799,0.77246,0.54011,0.98363,0.96181,1.31883,0.000304,0.000304,0.000304
118,142576,0.73457,0.81639,1.37178,0.76447,0.71816,0.77389,0.54201,0.98083,0.95764,1.31604,0.000298,0.000298,0.000298
119,143324,0.73722,0.81041,1.37908,0.76317,0.71936,0.7747,0.54344,0.97794,0.95357,1.31327,0.000292,0.000292,0.000292
120,144071,0.72674,0.80904,1.36994,0.76413,0.7186,0.77576,0.54495,0.97533,0.94954,1.31089,0.000286,0.000286,0.000286
121,144818,0.72596,0.79826,1.36369,0.76251,0.72299,0.77661,0.54648,0.97274,0.94616,1.30838,0.00028,0.00028,0.00028
122,145565,0.72096,0.8032,1.36779,0.76601,0.72176,0.77816,0.54763,0.9702,0.94265,1.30604,0.000274,0.000274,0.000274
123,146312,0.72478,0.80053,1.36355,0.76832,0.72264,0.7794,0.54893,0.96724,0.939,1.30327,0.000268,0.000268,0.000268
124,147059,0.71827,0.79553,1.35757,0.76664,0.72425,0.78034,0.55052,0.96454,0.93544,1.30078,0.000262,0.000262,0.000262
125,147807,0.71448,0.79238,1.35472,0.76615,0.72667,0.78154,0.55182,0.96181,0.93128,1.29837,0.000256,0.000256,0.000256
126,148554,0.71004,0.78608,1.34989,0.76097,0.73065,0.78236,0.55311,0.95916,0.92793,1.2961,0.00025,0.00025,0.00025
127,149301,0.70573,0.77723,1.34604,0.76352,0.73191,0.78358,0.55467,0.95676,0.92432,1.29395,0.000244,0.000244,0.000244
128,150048,0.71006,0.77711,1.35187,0.76427,0.73327,0.78442,0.55651,0.95419,0.92045,1.29161,0.000238,0.000238,0.000238
129,150795,0.69767,0.7746,1.34013,0.76499,0.73528,0.78532,0.55778,0.95134,0.91654,1.28891,0.000232,0.000232,0.000232
130,151542,0.70024,0.77109,1.34325,0.76758,0.73749,0.78595,0.55873,0.9485,0.91275,1.28621,0.000226,0.000226,0.000226
131,152291,0.69596,0.76613,1.33674,0.76994,0.73776,0.78723,0.56043,0.94589,0.90911,1.28371,0.00022,0.00022,0.00022
132,153037,0.70025,0.76174,1.34013,0.77172,0.7394,0.78831,0.56211,0.94311,0.9059,1.28122,0.000214,0.000214,0.000214
133,153784,0.69367,0.75225,1.32991,0.77398,0.7402,0.78983,0.56349,0.94046,0.90232,1.27867,0.000208,0.000208,0.000208
134,154531,0.68794,0.75493,1.32678,0.77809,0.74022,0.79118,0.56474,0.9378,0.89906,1.27611,0.000202,0.000202,0.000202
135,155279,0.69084,0.76102,1.33065,0.78111,0.73855,0.79181,0.56615,0.93521,0.89565,1.27363,0.000196,0.000196,0.000196
136,156026,0.68864,0.75146,1.32741,0.78128,0.74039,0.79213,0.56689,0.93232,0.89234,1.2711,0.00019,0.00019,0.00019
137,156774,0.6864,0.74991,1.32312,0.77966,0.74123,0.79248,0.56839,0.92957,0.88906,1.26871,0.000184,0.000184,0.000184
138,157520,0.67878,0.73889,1.31952,0.78116,0.74158,0.79318,0.5699,0.927,0.88573,1.26603,0.000178,0.000178,0.000178
139,158267,0.68127,0.74268,1.32252,0.78397,0.73929,0.79285,0.57111,0.92422,0.88272,1.26357,0.000172,0.000172,0.000172
140,159015,0.67085,0.73181,1.31719,0.78664,0.73973,0.79406,0.57215,0.92152,0.87945,1.26074,0.000166,0.000166,0.000166
141,159752,0.64988,0.56699,1.25923,0.78678,0.74217,0.79495,0.57329,0.9192,0.87619,1.25844,0.00016,0.00016,0.00016
142,160490,0.63888,0.5557,1.25383,0.78824,0.74264,0.79639,0.57522,0.91646,0.87289,1.25606,0.000154,0.000154,0.000154
143,161226,0.63493,0.54785,1.24881,0.78737,0.74477,0.79706,0.57621,0.91391,0.86949,1.25361,0.000148,0.000148,0.000148
144,161964,0.63296,0.54475,1.24309,0.78845,0.7438,0.79757,0.57734,0.91128,0.86596,1.25126,0.000142,0.000142,0.000142
145,162700,0.62993,0.54568,1.24398,0.79041,0.74532,0.7985,0.57885,0.90867,0.8626,1.24894,0.000136,0.000136,0.000136
146,163437,0.62754,0.5417,1.24108,0.78756,0.74756,0.79886,0.57982,0.90619,0.85949,1.24667,0.00013,0.00013,0.00013
147,164176,0.62334,0.53482,1.23681,0.78792,0.74894,0.79977,0.58112,0.90366,0.85628,1.24448,0.000124,0.000124,0.000124
148,164913,0.62274,0.53369,1.23228,0.78995,0.74741,0.80049,0.58221,0.9013,0.85346,1.24226,0.000118,0.000118,0.000118
149,165650,0.61529,0.5278,1.22491,0.78897,0.75013,0.80124,0.58334,0.89865,0.8504,1.23975,0.000112,0.000112,0.000112
150,166387,0.61009,0.52191,1.22161,0.79192,0.75104,0.80216,0.58469,0.89646,0.84722,1.23802,0.000106,0.000106,0.000106
