epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,24283.6,0.64059,0.67265,1.26341,0.81252,0.76677,0.82117,0.61535,0.86031,0.82695,1.21194,0.000179,0.000179,0.000179
109,24523.1,0.63904,0.66995,1.26061,0.81976,0.7607,0.82103,0.61644,0.85785,0.8252,1.20959,0.000176,0.000176,0.000176
110,24762.2,0.63454,0.66386,1.26017,0.82437,0.75995,0.82292,0.61786,0.85489,0.82301,1.20662,0.000173,0.000173,0.000173
111,25025.8,0.63266,0.66087,1.25564,0.8233,0.7604,0.82321,0.61916,0.85226,0.82106,1.20436,0.00017,0.00017,0.00017
112,25265.1,0.62534,0.65588,1.24861,0.82907,0.75844,0.82326,0.62067,0.84965,0.81965,1.20228,0.000167,0.000167,0.000167
113,25504,0.62182,0.65158,1.24488,0.82783,0.76111,0.82341,0.62175,0.84705,0.819,1.20013,0.000164,0.000164,0.000164
114,25759.7,0.62022,0.647,1.24258,0.82875,0.7611,0.82359,0.62261,0.8444,0.81713,1.19791,0.000161,0.000161,0.000161
115,26006.2,0.61665,0.64915,1.24115,0.82486,0.76505,0.82422,0.62378,0.8413,0.81586,1.19525,0.000158,0.000158,0.000158
116,26244.6,0.61584,0.63679,1.23925,0.82673,0.76539,0.82442,0.62483,0.83852,0.81505,1.19285,0.000155,0.000155,0.000155
117,26484.3,0.60949,0.63759,1.23393,0.82675,0.76698,0.82501,0.62608,0.83578,0.81411,1.19042,0.000152,0.000152,0.000152
118,26748.2,0.60839,0.63212,1.23094,0.82801,0.76838,0.82552,0.628,0.83272,0.81331,1.18766,0.000149,0.000149,0.000149
119,26987.7,0.59616,0.63021,1.22165,0.83282,0.764,0.82601,0.62906,0.83002,0.8121,1.18531,0.000146,0.000146,0.000146
120,27226.8,0.60559,0.63049,1.22864,0.83412,0.76488,0.82675,0.63038,0.82774,0.81119,1.18317,0.000143,0.000143,0.000143
121,27491.3,0.6046,0.62741,1.22087,0.83784,0.76492,0.82746,0.63185,0.8248,0.80917,1.18032,0.00014,0.00014,0.00014
122,27730.8,0.60581,0.62718,1.22893,0.83833,0.76502,0.82773,0.63272,0.82211,0.81019,1.17794,0.000137,0.000137,0.000137
123,27970.2,0.60047,0.62585,1.22035,0.8345,0.76785,0.82771,0.63369,0.8193,0.81185,1.17577,0.000134,0.000134,0.000134
124,28219.3,0.59074,0.6147,1.21521,0.83711,0.76632,0.82766,0.63409,0.81664,0.81236,1.17332,0.000131,0.000131,0.000131
125,28474.2,0.5876,0.60804,1.20841,0.83775,0.76498,0.82778,0.6347,0.81397,0.81217,1.17103,0.000128,0.000128,0.000128
